SOLVER,BENCHMARK,DESC,STATUS
Imandra,list/pref_1var_2_4occ/0,,FAILED
Imandra,list/pref_1var_2_4occ/1,,FAILED
Imandra,list/pref_1var_2_4occ/2,,FAILED
Imandra,list/pref_1var_2_4occ/3,,FAILED
Imandra,list/pref_1var_2_4occ/4,,FAILED
Imandra,list/pref_1var_2_3occ/0,,FAILED
Imandra,list/pref_1var_2_3occ/1,,FAILED
Imandra,list/pref_1var_5_8occ/0,,FAILED
Imandra,list/pref_1var_5_8occ/1,,FAILED
Imandra,list/pref_1var_5_8occ/10,,FAILED
Imandra,list/pref_1var_5_8occ/11,,FAILED
Imandra,list/pref_1var_5_8occ/12,,FAILED
Imandra,list/pref_1var_5_8occ/13,,FAILED
Imandra,list/pref_1var_5_8occ/14,,FAILED
Imandra,list/pref_1var_5_8occ/15,,FAILED
Imandra,list/pref_1var_5_8occ/16,,FAILED
Imandra,list/pref_1var_5_8occ/17,,FAILED
Imandra,list/pref_1var_5_8occ/18,,FAILED
Imandra,list/pref_1var_5_8occ/19,,FAILED
Imandra,list/pref_1var_5_8occ/2,,FAILED
Imandra,list/pref_1var_5_8occ/20,,FAILED
Imandra,list/pref_1var_5_8occ/21,,FAILED
Imandra,list/pref_1var_5_8occ/22,,FAILED
Imandra,list/pref_1var_5_8occ/23,,FAILED
Imandra,list/pref_1var_5_8occ/24,,FAILED
Imandra,list/pref_1var_5_8occ/25,,FAILED
Imandra,list/pref_1var_5_8occ/26,,FAILED
Imandra,list/pref_1var_5_8occ/27,,FAILED
Imandra,list/pref_1var_5_8occ/28,,FAILED
Imandra,list/pref_1var_5_8occ/29,,FAILED
Imandra,list/pref_1var_5_8occ/3,,FAILED
Imandra,list/pref_1var_5_8occ/30,,FAILED
Imandra,list/pref_1var_5_8occ/31,,FAILED
Imandra,list/pref_1var_5_8occ/32,,FAILED
Imandra,list/pref_1var_5_8occ/33,,FAILED
Imandra,list/pref_1var_5_8occ/34,,FAILED
Imandra,list/pref_1var_5_8occ/35,,FAILED
Imandra,list/pref_1var_5_8occ/36,,FAILED
Imandra,list/pref_1var_5_8occ/37,,FAILED
Imandra,list/pref_1var_5_8occ/38,,FAILED
Imandra,list/pref_1var_5_8occ/39,,FAILED
Imandra,list/pref_1var_5_8occ/4,,FAILED
Imandra,list/pref_1var_5_8occ/40,,FAILED
Imandra,list/pref_1var_5_8occ/41,,FAILED
Imandra,list/pref_1var_5_8occ/42,,FAILED
Imandra,list/pref_1var_5_8occ/43,,FAILED
Imandra,list/pref_1var_5_8occ/44,,FAILED
Imandra,list/pref_1var_5_8occ/45,,FAILED
Imandra,list/pref_1var_5_8occ/46,,FAILED
Imandra,list/pref_1var_5_8occ/47,,FAILED
Imandra,list/pref_1var_5_8occ/48,,FAILED
Imandra,list/pref_1var_5_8occ/49,,FAILED
Imandra,list/pref_1var_5_8occ/5,,FAILED
Imandra,list/pref_1var_5_8occ/6,,FAILED
Imandra,list/pref_1var_5_8occ/7,,FAILED
Imandra,list/pref_1var_5_8occ/8,,FAILED
Imandra,list/pref_1var_5_8occ/9,,FAILED
Imandra,list/concat_assoc_1var_4occ/0,,FAILED
Imandra,list/concat_assoc_1var_4occ/1,,FAILED
Imandra,list/concat_assoc_1var_4occ/2,,FAILED
Imandra,list/concat_assoc_1var_4occ/3,,FAILED
Imandra,list/concat_assoc_1var_4occ/4,,FAILED
Imandra,list/concat_assoc_1var_4occ/5,,FAILED
Imandra,list/concat_assoc_1var_4occ/6,,FAILED
Imandra,list/concat_assoc_1var_4occ/7,,FAILED
Imandra,list/concat_assoc_1var_4occ/8,,FAILED
Imandra,list/concat_assoc_1var_4occ/9,,FAILED
Imandra,list/pref_1var_1_5occ/0,,FAILED
Imandra,list/pref_1var_1_5occ/1,,FAILED
