SOLVER,BENCHMARK,DESC,STATUS
Vampire_c,nat/add_assoc_1var_5occ/0,$\forall v_{0}.(((v_{0} + v_{0}) + (v_{0} + v_{0})) + v_{0} = (v_{0} + (v_{0} + v_{0})) + (v_{0} + v_{0}))$,FAILED
Vampire_c,nat/add_assoc_1var_5occ/1,$\forall v_{0}.((((v_{0} + v_{0}) + v_{0}) + v_{0}) + v_{0} = ((v_{0} + (v_{0} + v_{0})) + v_{0}) + v_{0})$,FAILED
Vampire_c,nat/add_assoc_1var_5occ/10,$\forall v_{0}.(v_{0} + ((v_{0} + v_{0}) + (v_{0} + v_{0})) = (((v_{0} + v_{0}) + v_{0}) + v_{0}) + v_{0})$,FAILED
Vampire_c,nat/add_assoc_1var_5occ/11,$\forall v_{0}.((v_{0} + ((v_{0} + v_{0}) + v_{0})) + v_{0} = v_{0} + ((v_{0} + v_{0}) + (v_{0} + v_{0})))$,FAILED
Vampire_c,nat/add_assoc_1var_5occ/12,$\forall v_{0}.((v_{0} + ((v_{0} + v_{0}) + v_{0})) + v_{0} = ((v_{0} + v_{0}) + (v_{0} + v_{0})) + v_{0})$,FAILED
Vampire_c,nat/add_assoc_1var_5occ/13,$\forall v_{0}.(((v_{0} + v_{0}) + v_{0}) + (v_{0} + v_{0}) = (v_{0} + v_{0}) + (v_{0} + (v_{0} + v_{0})))$,FAILED
Vampire_c,nat/add_assoc_1var_5occ/14,$\forall v_{0}.((v_{0} + (v_{0} + (v_{0} + v_{0}))) + v_{0} = (v_{0} + (v_{0} + v_{0})) + (v_{0} + v_{0}))$,FAILED
Vampire_c,nat/add_assoc_1var_5occ/15,$\forall v_{0}.(v_{0} + (v_{0} + (v_{0} + (v_{0} + v_{0}))) = (((v_{0} + v_{0}) + v_{0}) + v_{0}) + v_{0})$,FAILED
Vampire_c,nat/add_assoc_1var_5occ/16,$\forall v_{0}.((v_{0} + v_{0}) + ((v_{0} + v_{0}) + v_{0}) = (v_{0} + (v_{0} + v_{0})) + (v_{0} + v_{0}))$,FAILED
Vampire_c,nat/add_assoc_1var_5occ/17,$\forall v_{0}.((((v_{0} + v_{0}) + v_{0}) + v_{0}) + v_{0} = ((v_{0} + v_{0}) + v_{0}) + (v_{0} + v_{0}))$,FAILED
