SOLVER,BENCHMARK,DESC,STATUS
ZipRewrite,nat/add_assoc_1var_5occ/0,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/1,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/10,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/11,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/12,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/13,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/14,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/15,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/16,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/17,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/18,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/19,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/2,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/20,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/21,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/22,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/23,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/24,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/25,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/26,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/27,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/28,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/29,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/3,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/30,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/31,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/32,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/33,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/34,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/35,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/36,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/37,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/38,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/39,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/4,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/40,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/41,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/42,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/43,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/44,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/45,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/46,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/47,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/48,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/49,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/5,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/6,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/7,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/8,,SOLVED
ZipRewrite,nat/add_assoc_1var_5occ/9,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/0,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/1,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/10,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/11,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/12,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/13,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/14,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/15,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/16,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/17,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/18,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/19,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/2,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/20,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/21,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/22,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/23,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/24,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/25,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/26,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/27,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/28,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/29,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/3,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/30,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/31,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/32,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/33,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/34,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/35,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/36,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/37,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/38,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/39,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/4,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/40,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/41,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/42,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/43,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/44,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/45,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/46,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/47,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/48,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/49,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/5,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/6,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/7,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/8,,SOLVED
ZipRewrite,nat/add_assoc_1var_6occ/9,,SOLVED
ZipRewrite,nat/add_s_zero_mix_18/0,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/1,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/10,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/11,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/12,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/13,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/14,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/15,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/16,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/17,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/18,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/19,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/2,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/20,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/21,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/22,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/23,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/24,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/25,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/26,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/27,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/28,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/29,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/3,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/30,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/31,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/32,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/33,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/34,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/35,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/36,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/37,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/38,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/39,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/4,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/40,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/41,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/42,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/43,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/44,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/45,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/46,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/47,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/48,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/49,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/5,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/6,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/7,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/8,,FAILED
ZipRewrite,nat/add_s_zero_mix_18/9,,FAILED
ZipRewrite,nat/add_mix_3var_5occ/0,,FAILED
ZipRewrite,nat/add_mix_3var_5occ/1,,FAILED
ZipRewrite,nat/add_mix_3var_5occ/10,,SOLVED
ZipRewrite,nat/add_mix_3var_5occ/11,,FAILED
ZipRewrite,nat/add_mix_3var_5occ/12,,SOLVED
ZipRewrite,nat/add_mix_3var_5occ/13,,SOLVED
ZipRewrite,nat/add_mix_3var_5occ/14,,FAILED
ZipRewrite,nat/add_mix_3var_5occ/15,,FAILED
ZipRewrite,nat/add_mix_3var_5occ/16,,FAILED
ZipRewrite,nat/add_mix_3var_5occ/17,,FAILED
ZipRewrite,nat/add_mix_3var_5occ/18,,FAILED
ZipRewrite,nat/add_mix_3var_5occ/19,,FAILED
ZipRewrite,nat/add_mix_3var_5occ/2,,FAILED
ZipRewrite,nat/add_mix_3var_5occ/20,,FAILED
ZipRewrite,nat/add_mix_3var_5occ/21,,FAILED
ZipRewrite,nat/add_mix_3var_5occ/22,,FAILED
ZipRewrite,nat/add_mix_3var_5occ/23,,FAILED
ZipRewrite,nat/add_mix_3var_5occ/24,,FAILED
ZipRewrite,nat/add_mix_3var_5occ/25,,FAILED
ZipRewrite,nat/add_mix_3var_5occ/26,,FAILED
ZipRewrite,nat/add_mix_3var_5occ/27,,FAILED
ZipRewrite,nat/add_mix_3var_5occ/28,,FAILED
ZipRewrite,nat/add_mix_3var_5occ/29,,FAILED
ZipRewrite,nat/add_mix_3var_5occ/3,,SOLVED
ZipRewrite,nat/add_mix_3var_5occ/30,,FAILED
ZipRewrite,nat/add_mix_3var_5occ/31,,SOLVED
ZipRewrite,nat/add_mix_3var_5occ/32,,SOLVED
ZipRewrite,nat/add_mix_3var_5occ/33,,FAILED
ZipRewrite,nat/add_mix_3var_5occ/34,,SOLVED
ZipRewrite,nat/add_mix_3var_5occ/35,,FAILED
ZipRewrite,nat/add_mix_3var_5occ/36,,FAILED
ZipRewrite,nat/add_mix_3var_5occ/37,,SOLVED
ZipRewrite,nat/add_mix_3var_5occ/38,,FAILED
ZipRewrite,nat/add_mix_3var_5occ/39,,FAILED
ZipRewrite,nat/add_mix_3var_5occ/4,,SOLVED
ZipRewrite,nat/add_mix_3var_5occ/40,,FAILED
ZipRewrite,nat/add_mix_3var_5occ/41,,SOLVED
ZipRewrite,nat/add_mix_3var_5occ/42,,FAILED
ZipRewrite,nat/add_mix_3var_5occ/43,,FAILED
ZipRewrite,nat/add_mix_3var_5occ/44,,FAILED
ZipRewrite,nat/add_mix_3var_5occ/45,,FAILED
ZipRewrite,nat/add_mix_3var_5occ/46,,SOLVED
ZipRewrite,nat/add_mix_3var_5occ/47,,FAILED
ZipRewrite,nat/add_mix_3var_5occ/48,,SOLVED
ZipRewrite,nat/add_mix_3var_5occ/49,,FAILED
ZipRewrite,nat/add_mix_3var_5occ/5,,SOLVED
ZipRewrite,nat/add_mix_3var_5occ/6,,FAILED
ZipRewrite,nat/add_mix_3var_5occ/7,,FAILED
ZipRewrite,nat/add_mix_3var_5occ/8,,FAILED
ZipRewrite,nat/add_mix_3var_5occ/9,,FAILED
ZipRewrite,nat/leq_1var_5_9occ/0,,SOLVED
ZipRewrite,nat/leq_1var_5_9occ/1,,SOLVED
ZipRewrite,nat/leq_1var_5_9occ/10,,SOLVED
ZipRewrite,nat/leq_1var_5_9occ/11,,SOLVED
ZipRewrite,nat/leq_1var_5_9occ/12,,SOLVED
ZipRewrite,nat/leq_1var_5_9occ/13,,SOLVED
ZipRewrite,nat/leq_1var_5_9occ/14,,SOLVED
ZipRewrite,nat/leq_1var_5_9occ/15,,SOLVED
ZipRewrite,nat/leq_1var_5_9occ/16,,SOLVED
ZipRewrite,nat/leq_1var_5_9occ/17,,SOLVED
